subdistrict,year,heatwave_days_count
Athmalgola,2020,1
Athmalgola,2021,0
Athmalgola,2022,9
Athmalgola,2023,21
Athmalgola,2024,25
Athmalgola,2025,10
Bakhtiarpur,2020,2
Bakhtiarpur,2021,0
Bakhtiarpur,2022,11
Bakhtiarpur,2023,20
Bakhtiarpur,2024,26
Bakhtiarpur,2025,10
Barh,2020,0
Barh,2021,0
Barh,2022,8
Barh,2023,17
Barh,2024,23
Barh,2025,9
Belchhi,2020,1
Belchhi,2021,0
Belchhi,2022,10
Belchhi,2023,23
Belchhi,2024,26
Belchhi,2025,10
Bihta,2020,3
Bihta,2021,2
Bihta,2022,16
Bihta,2023,20
Bihta,2024,33
Bihta,2025,11
Bikram,2020,3
Bikram,2021,4
Bikram,2022,20
Bikram,2023,25
Bikram,2024,35
Bikram,2025,12
Daniawan,2020,2
Daniawan,2021,1
Daniawan,2022,15
Daniawan,2023,25
Daniawan,2024,32
Daniawan,2025,10
Dhanarua,2020,2
Dhanarua,2021,3
Dhanarua,2022,21
Dhanarua,2023,30
Dhanarua,2024,38
Dhanarua,2025,12
Dinapur-Cum-Khagaul,2020,2
Dinapur-Cum-Khagaul,2021,1
Dinapur-Cum-Khagaul,2022,16
Dinapur-Cum-Khagaul,2023,24
Dinapur-Cum-Khagaul,2024,31
Dinapur-Cum-Khagaul,2025,10
Dulhin Bazar,2020,4
Dulhin Bazar,2021,5
Dulhin Bazar,2022,25
Dulhin Bazar,2023,28
Dulhin Bazar,2024,39
Dulhin Bazar,2025,16
Fatwah,2020,2
Fatwah,2021,1
Fatwah,2022,15
Fatwah,2023,25
Fatwah,2024,32
Fatwah,2025,10
Ghoswari,2020,0
Ghoswari,2021,0
Ghoswari,2022,9
Ghoswari,2023,24
Ghoswari,2024,23
Ghoswari,2025,10
Khusrupur,2020,2
Khusrupur,2021,0
Khusrupur,2022,13
Khusrupur,2023,21
Khusrupur,2024,29
Khusrupur,2025,10
Maner,2020,2
Maner,2021,2
Maner,2022,16
Maner,2023,25
Maner,2024,33
Maner,2025,11
Masaurhi,2020,3
Masaurhi,2021,5
Masaurhi,2022,25
Masaurhi,2023,29
Masaurhi,2024,39
Masaurhi,2025,14
Mokameh,2020,0
Mokameh,2021,0
Mokameh,2022,5
Mokameh,2023,22
Mokameh,2024,18
Mokameh,2025,8
Naubatpur,2020,3
Naubatpur,2021,3
Naubatpur,2022,18
Naubatpur,2023,26
Naubatpur,2024,36
Naubatpur,2025,11
Paliganj,2020,6
Paliganj,2021,6
Paliganj,2022,30
Paliganj,2023,31
Paliganj,2024,41
Paliganj,2025,16
Pandarak,2020,0
Pandarak,2021,0
Pandarak,2022,8
Pandarak,2023,17
Pandarak,2024,23
Pandarak,2025,10
Patna Rural,2020,2
Patna Rural,2021,1
Patna Rural,2022,13
Patna Rural,2023,21
Patna Rural,2024,29
Patna Rural,2025,8
Phulwari,2020,2
Phulwari,2021,1
Phulwari,2022,16
Phulwari,2023,24
Phulwari,2024,31
Phulwari,2025,10
Punpun,2020,2
Punpun,2021,3
Punpun,2022,17
Punpun,2023,26
Punpun,2024,37
Punpun,2025,11
Sampatchak,2020,2
Sampatchak,2021,1
Sampatchak,2022,13
Sampatchak,2023,22
Sampatchak,2024,30
Sampatchak,2025,9
